Unnamed: 0,text,label
4438,sajan sir pedichu poyo,Fake
1937,സ്പോൺസർ യുഎസ്,Fake
4131,നിങ്ങളൊക്കെ എന്ത് അറിഞ്ഞിട്ടാണ് facewithrollingeyes തിരുവാതിര കളി തുടങ്ങും മുമ്പ് കൈക്കും കാലിനും sanitiser ആക്കിയിട്ടാണ് കളിക്കുന്നത് poutingcat,original
456,ഇന്ത്യൻ ഗവണ്മെന്റ് പ്രഖ്യാപിച്ച ഹോമിയോപതി മെഡിസിൻ arsenic alba   എല്ലാവരും കഴിക്കു preventive ആണ് also ഇമ്മ്യൂണിറ്റി booster,Fake
3943,good chainathumbsupthumbsupthumbsupthumbsup,Fake
2955,ഇതാണ് വീട് വേവുമ്പോൾ വാഴവെട്ടുന്നു എന്ന്പറയുന്നപരിപാടിനാട്ടിൽഅനീതിയുംഅക്രമവുംകൊടികുത്തിവാഴുന്നു ഗുണ്ടകളെ പേടിച്ച് നാട്ടിൽ ഇറങ്ങിനടക്കാ  ൻപറ്റാത്തഅവസ്ഥ,original
3642,kalikkarikal aarum mask ittittillallo,original
3511,വക്സിൻ  എടുത്ത്  എത്ര  പേർ മരിച്ചു,Fake
525,ee veena george ne okke pidichu kinattil idanam,original
1196,ഞാൻ ഒരു എസ് എൽ ഇരോഗിയാണ്‌ഒരുപാട്‌ആയുർവ്വേതചികിൽസനടത്തിമടുത്തുരോഗം എന്താണെന്ന് ആർക്കും മനസ്സിലായില്ല അവസാനം ലങ്‌സിനെഭാധിച്ചുനീര് കുത്തി യെടുത്ത്‌പരിശോധിച്ചുഅതിലൂംരോഗംഎന്താണെന്നറിഞ്ഞല്ല അവസാനംഒരുറുമറ്റോളജിസ്റ്റിനെകാണിച്ചുഅദ്ദേഹത്തോട്‌രോഗംഎന്താണെന്നറിയാതെഞാൻമരുന്ന്‌കഴിക്കില എന്ന് പറഞ്ഞുഅദ്ദേഹം രക്തം പരിശോധന ക്കാൻ പറഞ്ഞു റിപ്പോർട്ട് വന്നു മരുന്ന് കഴിച്ചു കൊണ്ടിരിക്കുന്നുപൂർണ്ണമായിമാറില്ലചികിത്സ ശരിയായി നടത്തി യാൽകുഴപ്പമില്ലാതെഅങ്ങനെപോകാംഈറിപ്പോർട്ടുമായിഒരുനല്ല ആയുർവേദ ഡോക്ടറെകണ്ടുഅദ്ദേഹത്തോട്‌ഈരോഗത്തിന്‌ആയുർവേധചികിൽസയുണ്ടോഎന്ന്‌ചോദിച്ചു അദ്ദേഹം പറഞ്ഞു എളുപ്പമല്ല എന്ന് ആയുർവേദ ത്തെഒരിക്കലുകുറച്ച്‌കാണിക്കുകയല്ലഅലോപ്പതി പരാജയപ്പെട്ടപലകേസുംആയുർവ്വേതംശരിയാക്കിയ അനുഭവംഎനിക്കുണ്ട്‌,Fake
492,കൊറോണ മടങ്ങും എന്ന് പറഞ്ഞു നിങ്ങൾ ഈ വാർത്ത കുറച്ചു നേരത്തെ നിങ്ങള്ക്ക് പറയാൻ പറ്റാത്തതിന്റെ കാരണം എന്താ നിങ്ങൾ ഇപ്പോൾ പറയുന്നതിലും കാര്യങ്ങൾ സാധാരണക്കാർക്കു അറിയാം കൂടുതൽ വിശതീകരണം  വേണ്ട  സൂപ്പർമാഷേ,Fake
4611,കൊള്ളാം,Fake
1356,ayyo ithipol ano marunadan arinjathu  ithu annuthanne arinjathum paranjathum anallo,Fake
3530,ഹായ് സർ,Fake
130,ഇത് പിന്നീട് ട്രോൾ ആകുവെന്നുള്ള ബോധം പോലും പാർട്ടിക്കില്ലേ കഷ്ടം,original
539,today s news is very good thanks marunada,Fake
2831,m a baby very happy jackie  jackie facewithtearsofjoyfacewithtearsofjoy,original
3790,avar prathirodha marunnu kandu pidicha sesham samsayam thonnarikkan swantham powranmare kuruthi koduthu,Fake
3729,മനുഷ്യൻ ഉണ്ടെങ്കിൽ മാത്രമേ കൊറോണയ്ക് ജീവിക്കാൻ കഴിയുകയുള്ളു മേളകൾ വാഴട്ടെ,Fake
1544,ആണോ  പറച്ചിലിൽ എന്തോ ഒരു പിടുത്തമുണ്ടല്ലോ ഷാജൻ ഭായി ഒരു വഴിപാട് പോലെ എനിക്ക് മാത്രമാണോ തോനിയത്  നമ്മുടെ ഗോസ്വാമിയെ മഷിയിട്ട് റോക്കിയിട്ട് കാണുന്നില്ലല്ലോ ഇതേ കുറിച്ച് വല്ലതും മൊഴി ഞാരുന്നോ  ജാതിയും മതവും രാഷ്ട്രീയ പ്രീണനവും പറഞ്ഞ് നടന്നാ പോര മിസ്റ്റർ  വല്ലപ്പോഴും മനുഷ്യനാവാൻ കൂടി ശ്രമിക്കണം,Fake
